zolai,english,pos,cefr,translations,synonyms,antonyms,related,example_zo,example_en,usage_notes,sources,book_count,first_book
kimuhdahna,bare,n,A1,bare | bitterness | let | wrath | anger,khuaisuahte,,"ciing, naubu, leah, rachel, theih","Kimuhdahna, hehna, thangpaihna, kitotna, kikona, kilungsim neihna khempeuh beisak un la,","Let all bitterness, and wrath, and anger, and clamour, and evil speaking, be put away from you, with all malice:",Attested 124× across 4 Bible books.,Tongdot-VZT,2,GEN
kimuhna,found,n,A1,found | words | both | hand | put,,,"pai, sila, mun, hai, sungah",Na nasemte' sung pan tua hai,,Attested 1523× across 20 Bible books.,,6,GEN
kimuhnapa,found,n,C2,found | servants | what | hath | iniquity,,,"sila, bangci, theih, mawhna, kiphel",kote leh hai a kimuhnapa zong,,Attested 192× across 2 Bible books.,,,
kimuhnop,having,n,C2,having | these | parts | great | desire,"kiimtenga, galmuhin, metin",,,Ahi zongin hih gam kiimtenga ka nasepna man khinta ing,,Attested 110× across 2 Bible books.,,,
kimuhpih,head,n,B1,head | hast | every | thou | built,,,,a ni ni-in na paktatna na khan' semsem hi.,,Attested 165× across 2 Bible books.,,1,EZK
kimuhsuk,bamoth,n,C2,bamoth | valley | country | moab | top,,,,Bamoth panin sehnel gam a kimuhsuk theihna Pisgah mual kiang nai,,Attested 75× across 2 Bible books.,,,
kimukhia,therein,v,A2,therein | errors | whether | made | been,,,,"Naupangte nangawn mi citak mihoih ahihna, a gamtatna panun kimukhia thei hi.","Even a child is known by his doings, whether his work be pure, and whether it be right.",Attested 295× across 6 Bible books.,,3,EZR
kimukik,away,v,C2,away | great | found | yea | chased,,,"ngei, nawnlo, kibang","Amah pen zana mangmat bang, mumaang bangin maimang ding",,Attested 220× across 6 Bible books.,,,
kimulo,there,n,C2,there | seen | man | found | neither,,,"sung, hang, silngo, sagih, cih",Nangma lamlianpi tuipi tung hi,,Attested 1255× across 21 Bible books.,,,
kimupailet,limpid,adj,C2,limpid,,,"kimutuah a kiho thukikum, kimu theilo, kimu kawikawi, kimu thei, kimu pailet thei-a nip pian thawl khawnga bawl theih sungpaak nam khat",,,Adjective — place before noun or after verb as predicate.,"Dongdot, zomidictionary.app",,
kimusa,till,,B2,till | star | saw | east | went,,,,Bangmah dang ngaihsun manlo in nasep,,,,1,MAT
kimusak,great,v,B1,great | judah | men | pharaoh | house,,,thei,Letsong in a piapa’ adingin lampi hon’sak,,Attested 60× across 4 Bible books.,Dongdot,2,PRO
kimut,trumpet,n,B1,trumpet | ensign | mountains | bloweth | hear,,,,leitunga om mi khempeuh aw,,Attested 80× across 2 Bible books.,,1,ISA
kimute,book,n,A2,book | jehoiakim | abominations | did | found,,,,Tu-in Jehoiakim' gamtatna a omlaite,,Attested 125× across 2 Bible books.,,1,2CH
kimuthei,seen,v,C2,seen | things | life | manifested | created,"muhsa, kidawk, zuaupi",,"note, khrih, theilo, kimu",a kimu theilo nate a tawntungin a kip ahi hi.,,Attested 445× across 8 Bible books.,,,
kimutheite,invisible,,C1,invisible | created | things | heaven | earth,,,,,,,,1,COL
kimuzo,can,v,C2,can | sought | could | found | goodness,,,"zonzon, paikik, nawnlo",amah na om nawnlo hi. Amah ka zonzon hangin kimuzo nawnlo hi.,,Attested 134× across 5 Bible books.,,,
kimvel,walls,n,C2,walls | jericho | fell | down | after,,,,Israel mite in Jerikho khuapi ni sagih sung,,Attested 75× across 2 Bible books.,,,
kin,festinate,v,A1,east | right | forsake | being | further,,,"note, sungah, bek, lungsim, theihna",Tua ganhingte zong khuaphia mah bangin kin zalzal kawikawi uh hi.,And the living creatures ran and returned as the appearance of a flash of lightning.,Verb — use as action word in SOV sentence: [Subject] [Object] {word} hi.,"Tongdot-DLH, zomidictionary.app, Dr. Dal Lian Haokip",,GEN
"kin
relative",tanau,,C2,tanau,,,,,,,Tongdot-DLH,,
kinaa,conflict,v,C2,,,,,,,,,,
kinaai,relate,v,C2,palsy-walsy,,,,James pen Amanda tawh kinaai mahmah taktak hi.,,,Dongdot,,
kinaaina,propinquity,n,C2,propinquity,,,"kinaihpih, kinaina, kinaih, kinailua (sisan lam a kitanau) lupkhop na, kinaipih",Pupa’ hunlaai-in Moliah-pen mothakding numei’ lawm-ngaih mahmah kiteel-a,,Noun — use as subject or object; nominalize with +na for abstract form.,"Tongdot-DLH, Dongdot, zomidictionary.app",,
kinah,kinah,n,A1,kinah | dimonah | adadah,,,,,,Attested 30× across 2 Bible books.,,1,JOS
kinai,near,n,A1,near | any | nigh | hast | came,,,"beh, neih, israel, pia, khuapi",Amaute in an peuhmah kih uh,,Attested 1938× across 25 Bible books.,"Dongdot, zomidictionary.app",13,GEN
kinaih,converge,v,A2,against | army | array | israel | philistines,"taansa, lengkhiamang, hanciamsak",,"kinaihpih, kinaina, kinailua (sisan lam a kitanau) lupkhop na, kinaipih, kinawtnawtna-a maai dikdek","Israelte leh Filistiate, galkap leh galkap a kido dingin kinaih uh hi.","For Israel and the Philistines had put the battle in array, army against army.",Verb — use as action word in SOV sentence: [Subject] [Object] {word} hi.,"Dongdot, zomidictionary.app",,1SA
kinaihna,correlation,n,C2,correlation,,,,Lianna in kinaihna a susia.,,,"Dongdot, zomidictionary.app",,
kinaihpih,adjoin,v,C2,adjoin,,,"kinaina, kinaih, kinailua (sisan lam a kitanau) lupkhop na, kinaipih, kinawtnawtna-a maai dikdek","ei-a' ding an va lei un,” a ci hi.",,Verb — use as action word in SOV sentence: [Subject] [Object] {word} hi.,"Dongdot, zomidictionary.app",,
kinaihpihna,contiguity,n,C2,,,,,,,,,,
kinailua,daughter,n,C2,daughter | law | both | surely | put,,,,Pasal khat a monu tawh a lupkhop leh,,Attested 95× across 2 Bible books.,,,
kinaina,affinity,n,B1,esther | king | queen | mordecai | came,,,"kinaihpih, kinaih, kinailua (sisan lam a kitanau) lupkhop na, kinaipih, kinawtnawtna-a maai dikdek",Pasian' Ukna sungah leenggahzu thak ka dawnkik ni matengin leenggahzu,,Noun — use as subject or object; nominalize with +na for abstract form.,zomidictionary.app,,EST
kinaipen,elders,,A1,elders | next | every | midnight | city,,,,Kinaipen ding a ka upmawh hi ei.,,,,3,DEU
kinaipih,kin,n,A1,approach | revenger | none | any | near,,,"kinaihpih, kinaina, kinaih, kinailua (sisan lam a kitanau) lupkhop na, kinawtnawtna-a maai dikdek",Piter in a bil a satpa tawh a kibeh,,Noun — use as subject or object; nominalize with +na for abstract form.,zomidictionary.app,,LEV
kinaipihpen,right,,B1,right | buy | thine | come | saying,,,,om het kei leh beh sunga kinaipihpen,,,,1,JER
kinaita,adria,v,C2,adria | about | midnight | shipmen | deemed,,,,ci-in teembaw hawlte in a ummawh uh hi.,,Attested 115× across 2 Bible books.,,,
kinak,day,n,A1,day | joined | greatly | one | young,,,"lua, ganhonte, hawl, tuuhonte, naupangte","Tuate kinak mat lua ahih manin, bangmah in phelkhia zo lo hi.","They are joined one to another, they stick together, that they cannot be sundered.",Attested 165× across 4 Bible books.,,3,GEN
kinakko,cried,n,C2,cried | more | hold | peace | much,,,semsem,"“Singlamteh tungah that in,” ci-in a kinakko zaw semsem uh hi.",,Attested 180× across 4 Bible books.,,,
kinakna,strife,n,C2,,,,,Nang kinakna na hat mahmah.,,,,,
kinam,holy,n,C2,holy | kiss | greet | another,,,,Unau ki-itna tawh khatlekhat kihopihin na kinam un.,Greet one another with an holy kiss.,Attested 30× across 2 Bible books.,,,
kinamin,wept,n,A2,wept | one | another | david | ground,,,"khatlekhat, kihopih, itna, note, khrih",Thu uppih mi khempeuh khatlekhat,,Attested 325× across 8 Bible books.,,1,1SA
kinangin,top,,C2,top | joseph | worshipped | leaning | staff,,,,,,,,1,HEB
kinapna,holy,n,C1,holy | kiss | salute | brethren | one,,,,"Ute naute khempeuh, a siangtho kinapna tawh na kihopih un.",Greet all the brethren with an holy kiss.,Attested 45× across 2 Bible books.,,2,ROM
kinawlkhin,before,n,C2,before | weakness | unprofitableness | thereof | there,,,,"Ngeina lui pen ginaloin, a kiman'na omlo ahih manin kinawlkhin hi.",For there is verily a disannulling of the commandment going before for the weakness and unprofitableness thereof.,Attested 65× across 2 Bible books.,,,
kinawmsawm,brought,,B1,brought | down | fallen | risen | stand,,,,Amaute kinawmsawm-in puk ding uh,,,,1,PSA
kinawmsawmin,brought,n,C2,brought | down | fallen | risen | stand,,,"eite, tho, pukgawp, dingtang",Amaute kinawmsawmin pukgawp ding uh,,Attested 54× across 3 Bible books.,,,
kinawmvalh,swallowed,,B2,swallowed | israel | among | gentiles | vessel,,,,Israel khempeuh kinawmvalh-in kisusia ding,,,,1,HOS
kinawmvalhin,israel,n,C2,israel | swallowed | among | gentiles | vessel,,,,Israel khempeuh kinawmvalhin kisusia ding,,Attested 55× across 2 Bible books.,,,
kinawngkaisak,more,v,A2,more | place | plant | may | dwell,,,"nidanga, ngongtatte, seh, nawnlohna, keimah",Keimah in ka mi Israel-te-a' dingin mun khat ka seh ding,,Attested 250× across 4 Bible books.,,1,2SA
kinawnna,transportation,,C2,transportation,,,,"Sia pawlkhat in, ahi zongin, kinawnna",,,Dongdot,,
kinawtkhia,saith,v,B1,saith | lord | wherefore | thus,,,,a vekpi-in bei khinta hi.,,Attested 30× across 2 Bible books.,,1,EZK
kinawtmaina,corrosion,n,C2,corrosion,,,"kinaihpih, kinaina, kinaih, kinailua (sisan lam a kitanau) lupkhop na, kinaipih",,,Noun — use as subject or object; nominalize with +na for abstract form.,"Dongdot, zomidictionary.app",,
kinawtna,friction,n,C2,friction,,,"kinaihpih, kinaina, kinaih, kinailua (sisan lam a kitanau) lupkhop na, kinaipih",June pen taksa leh taksa kinawtna massage,,Noun — use as subject or object; nominalize with +na for abstract form.,"Dongdot, zomidictionary.app",,
kinawtngil,hath,n,B1,hath | colour | brightness | saith | like,,,"kibang, mihing, namsau, keimah",A khete uh mam zeza,,Attested 445× across 4 Bible books.,,2,ISA
kinawttuah,abrade,v,C2,,,,,,,,,,
kind,"(n.): anam, acii, a nam tuamtuam genna",adj,C2,"(n.): anam, acii, a nam tuamtuam genna",,,,Ton is the highest kind of feasting,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
"kind
humble
gentle",(migi) ,,C2,(migi) ,,,,,,,Tongdot-DLH,,
"kind
race
type",nam,,C2,nam,,,,,,,Tongdot-DLH,,
kind-heardted,"migi in hehpihna alak, kind-heardted",adjective,C2,migi in hehpihna alak | kind-heardted,,,,,,,"Tongdot-TKD, Dongdot, Pu Thang Khan Dal",,
kind-hearted,"kind-hearted, adj. migi; lungsim hoih.",adj,C2,kind-hearted | adj. migi; lungsim hoih. | migi | migi lungsim hoih | lungsim hoih,,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Dongdot",,
kinda,(adv.): အတော်ကလေး၊ အတော်အတန်။,,C2,(adv.): အတော်ကလေး၊ အတော်အတန်။,,,,,,,TongDot,,
kindergarden,(n.): ကလေးသူငယ်များကို ကစားနည်းများစသည်ဖြင့်ပညာသင်သည့်ကျောင်း။,,C2,(n.): ကလေးသူငယ်များကို ကစားနည်းများစသည်ဖြင့်ပညာသင်သည့်ကျောင်း။,,,,Kindergarden panin tan 6 ciang kihong ding hi.,,,TongDot,,
kindergarten,(n) naupangkepna sanginn,n,C2,(n) naupangkepna sanginn,,,,Kindergarten panin ka thei hi.,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
kindky,kindky,adj,C2,"kindky | adj. kizial tentan; kipheek phitphet, khauhual banga kihual phitphet. | kipheek phitphet, khauhual banga kihual phitphet | kizial tentan kipheek phitphet khauhual banga kihual phitphet | kizial tentan",,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Dongdot",,
kindle,"(v) hal, kangsak, mei tawh hal kuang",verb,C2,"(v) hal, kangsak, mei tawh hal kuang",,,,Ka nu in a Kindle zatzia siam mahmah hi.,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
kindling,"mei tawh na singkeu, kindle",noun,C2,mei tawh na singkeu | kindle,,,,,,,"Tongdot-TKD, Dongdot, Pu Thang Khan Dal",,
kindly,"(adv) lungnemlua, migi lua, hehpihsiam lua",adjective,C2,"(adv) lungnemlua, migi lua, hehpihsiam lua",,,,"Lead, Kindly Light [Late 5:8].",,,"TongDot, Tongdot-TKD, Dongdot",,
kindred,"(n) kitanau, kinai mahmah kisanggam",n,C2,"(n) kitanau, kinai mahmah kisanggam",,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
kindsman,"tanau pasal, n. meeltheih pasal; tanau pasal.",n,C2,tanau pasal | n. meeltheih pasal; tanau pasal. | meeltheih pasal | kindsman | meeltheih pasal tanau pasal,,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Dongdot",,
kine,eaten,n,A1,eaten | holy | day | abomination | take,"kinelo, koihkhong, dimkik","ding, thei","thei, piak, omlai, sungah, anlum",kihhuai ahi hi; tuate kine lo ding hi.,,Attested 1248× across 14 Bible books.,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",8,GEN
kineem,conciliate,v,C2,,,,,Tu-in i kineem mahmah hi.,,,,,
kineh,far,n,B1,far | remove | way | come | nigh,,,,Leitaw lam panin huih hong nun' hiauhiau ciangin ei' deihna bang hi,,Attested 90× across 2 Bible books.,,1,PRO
kinehcipin,mean,n,C2,mean | time | there | gathered | together,,,,"“Farisi mite' kineihkhemna ahi, a silngo uh limtakin kidawm un.",,Attested 125× across 2 Bible books.,,,
kinehgawp,congest,v,C2,,,,,,,,,,
kinehkha,remove,v,C2,remove | way | far | come | nigh,,,,Tua bang numei tawh kinehkha kei un la,,Attested 60× across 2 Bible books.,,,
kinehlua,could,n,C2,could | come | press | brethren | nigh,"zolo, peisanin, kikhek",,"zongin, theilo",Tua laitakin Jesuh' nu leh a naute hong pai uh,,Attested 155× across 4 Bible books.,,,
kinehsak,fighten,v,C2,,,,,"Nang na kinehsak gawp hi, hi lo maw?",,,,,
kinei,given,n,A1,given | hold | understanding | shut | breasts,,,"cih, note, khua, mai, thei","“Job aw, mipil-a kinei na hih leh ka thugennate hong ngai in.","If now thou hast understanding, hear this: hearken to the voice of my words.",Attested 2200× across 32 Bible books.,,7,LEV
kineih,assumed,adj,A1,judge | make | made | mourner | why,"galbawl, kizemin, kikang",,"kinei sak, kineih tawmna, kineihna, kineihtu",Tua ahih ciangin sanggamte aw,,Adjective — place before noun or after verb as predicate.,"Tongdot-DLH, Dongdot, zomidictionary.app",,GEN
kineihin,hand,n,B1,hand | mine | prophets | see | vanity,"siahuaizaw, khemkhemin",,"cingin, uliante, theinuam, paul",Tua ciangin pumpeng tawh a lu satin cilphih uh,,Attested 625× across 10 Bible books.,,1,EZK
kineihkhem,missing,n,C2,missing | without | might | gone | double,,,"mihoih, note, hilh, thukham, gimna","Tua bang mite, lungsim kip a neilo, a kineihkhem hi lel uh",,Attested 700× across 10 Bible books.,,,
kineihkhemin,brought,n,C2,brought | came | privily | spy | liberty,,,,Ahi zongin mi pawlkhat in atsak nuam sam uh hi.,,Attested 120× across 2 Bible books.,,,
kineihkhemna,missing,n,C2,missing | laying | aside | malice | guile,,,"mihoih, ngen, deihna, kizui, lianzaw",leh kigensiatnate na omsak nawn kei un.,,Attested 205× across 8 Bible books.,,,
kineihkhemte,world,n,C2,world | missing | apostles | draw | nigh,"kibawlbawl, kigalneih",,"kamsang, nangawn, hang, dingun, cih",a kineihkhemte in na lungsim uh siangsak un.,,Attested 310× across 12 Bible books.,,,
kineihlai,come,n,C2,come | pass | any | prophesy | father,,,,Mi khatpeuh kamsang a kineihlai teitei leh,,Attested 110× across 2 Bible books.,,,
kineihna,pretended,adj,A1,between | there | controversy | men | come,,,"kineih, kinei sak, kineih tawmna, kineihtu",“Mite kikalah thu kineihna om,,Adjective — place before noun or after verb as predicate.,"Dongdot, zomidictionary.app",,DEU
kineihnate,alone,n,A1,alone | your | how | can | myself,,,,Kei guak in note' thu kineihnate sian'sakna ding tavuan lianpi,,Attested 70× across 2 Bible books.,,1,DEU
kineihnuam,because,n,C2,because | thou | being | man | makest,,,,“Nasep hoih na sep manin hong dengnuam ka hi kei uh a,,Attested 105× across 2 Bible books.,,,
kineihpa,amaziah,n,C2,amaziah | amos | thou | seer | flee,,,,Tua ciangin Amaziah in Amos kiangah,,Attested 105× across 2 Bible books.,,,
kineihpih,together,n,B1,together | should | come | judgment | man,,,,"Amah ka dawn' theihna dingin amah, kei bangin mi hilo",,Attested 50× across 2 Bible books.,,1,JOB
kineihtawm,"masked, fictive",,C2,masked | fictive,,,,Ihihna banga kilat ngamna kineihtawm lohna thupi Hongnusia Tg.,,,Dongdot,,
kineihtawnm,fictitious,,C2,fictitious,,,,,,,Dongdot,,
kineihtu,simulator,n,C2,simulator,,,"kineih, kinei sak, kineih tawmna, kineihna",,,Noun — use as subject or object; nominalize with +na for abstract form.,"Dongdot, zomidictionary.app",,
kineipa,seer,,B2,seer | amaziah | amos | thou | flee,,,,Muat-mawhna a kineipa thongsungah omlai hi.,,,,1,AMO
kineite,value,n,B1,value | men | egypt | places | land,"thutangte, kawkbaang",,"makai, lam, mawkna, nei, milim",Mihoihin a kineite in lamdang hong sa uh,,Attested 800× across 16 Bible books.,,5,JOB
kinek,eaten,n,A1,eaten | day | lusteth | clean | another,,,"nin, zongin, thei, sanang, thum",A ni thum ni-in a kinek peuhmah leh,,Attested 545× across 6 Bible books.,,3,LEV
kinelh,pretend,v,C2,pretend,,,,"kinelh siah toto aa Thomas Caxton in 1476 kum ciang, hoih.",,,zomidictionary.app,,
kinelo,eaten,n,C2,eaten | flesh | fire | burnt | abomination,"kine, koihkhong, dimkik",,"tuate, biakna, mei, kihal, anlum",a sa kinelo ding hi. Ahih hangin bawngtal neipa siang ding hi.,,Attested 700× across 6 Bible books.,,,
kinelsak,made,v,C1,made | every | straight | rough | ways,,,,Kuam thuk khempeuh kivukdim ding,,Attested 105× across 2 Bible books.,,1,LUK
kinem,saith,n,B1,saith | would | weeping | mourning | rachel,,,,{ Topa } in kong cihin-ah: “Ramah khua-ah aw khat kiza,,Attested 10× across 2 Bible books.,,2,JER
kinema,"kinema, cinema",noun,C2,kinema | cinema,,,,,,,"Tongdot-TKD, Dongdot, Pu Thang Khan Dal",,
kinemang,down,n,B1,down | thereof | hedge | eaten | break,,,,kinemang ding hi. A gawl ka susia ding,,Attested 115× across 2 Bible books.,,1,ISA
kinen,besought,,A2,besought | thereof | midst | palaces | samaria,,,,Sum kilomzatin kinen ngah hi,,,,2,2KI
kinen'niamnate,midst,n,C2,midst | thereof | oppressed | palaces | samaria,,,,“Samaria-ah hong kikhawm un la,,Attested 145× across 2 Bible books.,,,
